Bedrooms,Bathrooms,area,zipcode,price,num
3,2.0,1372,96019,178000,156
3,2.0,1306,96019,239900,158
3,2.0,1736,96019,239900,159
4,3.5,2900,96019,449900,160
4,2.0,1768,96019,279900,161
3,2.0,1008,96019,164000,162
3,2.0,1696,96019,319500,163
4,2.5,1580,95220,475000,164
4,2.5,2508,95220,699700,167
4,3.0,1909,95220,649000,168
4,3.0,2840,95220,799900,172
3,2.0,1299,94501,739000,174
2,1.0,1065,94501,629000,175
1,1.0,701,94501,339000,176
2,2.0,1313,94501,750000,177
3,1.5,1524,94501,749000,179
2,1.5,1120,94501,435000,181
3,2.5,2185,94501,490000,182
3,1.5,1253,94501,599000,183
2,1.0,766,94501,598000,184
3,1.5,1364,94501,729000,190
2,2.0,951,94501,538800,192
2,1.0,834,94501,549000,194
2,1.0,805,94501,625000,195
1,1.0,766,94501,349000,196
2,2.0,994,94501,479000,197
3,2.5,1652,94501,649000,200
2,1.5,1056,94501,739000,201
2,2.5,1772,93446,499000,202
2,1.0,1110,94501,649000,205
2,1.0,1016,94501,679000,206
3,2.0,1413,94501,619000,207
3,2.5,1678,94501,668000,212
2,1.0,1134,94501,599000,213
3,2.0,1368,93111,599999,218
3,2.0,1475,93111,769000,226
5,3.0,3188,92880,567500,228
5,5.0,3701,92880,579000,229
5,5.0,4749,92880,749000,230
5,4.0,4014,92880,699000,231
6,4.0,4311,92880,695000,232
5,4.0,2809,92880,635900,233
6,4.0,3635,92880,585000,234
8,6.0,3849,92880,580000,235
4,4.0,3773,91752,579000,236
4,3.0,3214,92880,547900,237
5,3.0,3677,92880,570000,238
5,3.0,3200,92880,568000,239
5,4.0,3270,92880,560000,240
5,5.0,4074,92880,550000,241
4,3.0,2951,92880,549999,242
5,4.0,3500,92880,545000,243
5,3.0,2622,92880,539900,244
5,3.0,3034,92880,539800,245
6,4.0,3375,92880,538000,246
5,3.0,3340,92880,534977,247
5,3.0,3075,92880,534888,248
5,3.0,3013,92880,530000,249
4,3.0,3000,92880,529900,250
4,3.0,3141,92880,529999,251
4,3.0,2650,92880,529900,252
5,3.0,3054,92543,284900,253
2,3.0,1627,92253,550000,254
1,1.0,840,94568,303590,255
4,2.0,1512,93720,89900,258
5,3.5,3149,92880,515000,259
3,3.0,2100,92692,700200,260
2,2.0,1503,92692,664900,263
3,2.0,1209,92253,250000,264
4,2.0,2250,93314,310000,265
6,4.0,4311,92880,695000,266
5,3.0,3514,92880,649990,268
4,3.0,2870,92880,489000,270
5,3.0,2533,94565,540000,272
4,3.0,3010,92880,490000,273
3,2.5,1321,91915,360000,274
3,3.0,1905,92880,448000,275
6,4.0,4311,92880,669472,276
4,3.0,2825,91752,549900,277
4,3.0,2579,92880,520000,278
4,4.0,2893,92880,520000,279
4,3.0,3099,92880,519900,280
4,5.0,3307,92880,519900,281
3,3.0,2367,92880,529000,282
5,4.0,3972,91752,525000,283
4,3.0,3010,92880,525000,284
5,5.0,3816,92880,589900,285
2,2.0,1152,92276,96900,286
2,1.5,1800,92276,163000,287
2,2.0,2036,92276,175000,288
2,2.0,1344,92276,98000,289
2,1.0,1100,92276,36000,290
2,2.0,1248,92276,115000,291
2,2.0,1380,92276,125000,292
2,2.0,960,92276,100000,293
3,2.0,1368,92276,193000,294
3,2.0,2788,92276,385000,295
5,3.25,3149,92880,515000,296
4,5.0,3834,92880,530000,297
5,3.0,3767,92880,567000,298
5,3.5,3149,92880,500000,299
5,4.0,3565,92880,537000,300
6,3.5,3615,92880,647000,301
5,5.0,4014,92880,542000,302
5,5.0,3834,92880,565000,303
4,3.0,3572,92880,535000,304
4,3.0,2870,92880,489000,305
4,3.0,2570,92880,510000,306
4,2.5,2285,93510,560000,307
3,2.0,2691,93510,675000,308
3,2.5,2490,93510,450000,309
3,2.0,2160,93510,409900,310
3,2.5,2326,93510,553000,311
3,2.5,2260,93510,470000,312
3,1.0,1337,93510,335000,313
2,1.0,884,93510,400000,314
4,3.0,2987,93510,615000,315
3,2.0,1476,93510,485000,316
5,3.0,2983,93510,479000,317
5,4.0,3198,93510,695000,318
3,2.0,1236,93510,221000,319
4,2.0,1797,93510,450000,320
3,2.0,1404,93510,195000,321
3,2.0,1248,93510,240000,322
5,3.0,3167,93510,599900,323
6,4.0,3705,93510,765000,324
4,2.5,2362,93510,539900,325
4,2.0,2252,93510,585000,326
3,2.0,2752,93510,570000,327
4,2.0,2160,93510,384000,328
3,4.0,3312,93510,759000,329
3,2.0,2315,93510,499000,330
2,2.0,1344,92276,154900,331
2,2.0,1820,92276,225000,332
2,2.0,1152,92276,138500,333
2,2.0,1440,92276,97500,334
2,2.0,2015,92276,219000,335
2,2.0,1248,92276,103500,336
2,2.0,1598,92276,136900,337
2,2.0,1176,92276,135000,338
2,2.5,960,92276,135000,339
3,2.0,1482,92276,158888,340
2,2.0,1152,92276,74900,341
2,2.0,1344,92276,69900,342
3,2.0,1248,92276,139500,343
3,2.0,1478,92276,219900,344
2,2.0,1152,92276,99900,345
2,2.0,1040,92276,59900,346
2,2.0,1000,92276,118900,347
2,2.0,1440,92276,106000,348
2,2.0,1344,92276,67500,349
2,2.0,1640,92276,104950,350
2,2.0,1578,92276,97000,351
2,2.0,1512,92276,98900,352
2,2.0,1152,92276,99900,353
2,1.5,1056,92276,79900,354
2,2.0,1930,92276,164900,355
2,2.0,1240,92276,117000,356
4,2.0,1866,92276,256000,357
2,2.0,960,92276,61000,358
2,2.0,1388,92276,167400,359
2,2.0,1152,92276,97500,360
2,1.0,960,92276,63500,361
3,2.0,1200,92276,225000,362
2,2.0,1440,92276,77000,363
2,2.0,1248,92276,114500,364
2,2.0,1152,92276,96500,365
2,2.0,960,92276,79900,366
3,2.0,1397,92276,248500,367
2,2.0,1248,92276,117500,368
2,2.0,1248,92276,79900,369
2,2.0,1344,92276,84900,370
2,2.0,1440,92276,84900,371
3,2.5,2644,92276,379500,372
2,2.0,1020,92276,74900,373
2,2.0,1600,92276,147000,374
2,2.0,2024,92276,214900,375
2,1.0,780,92276,67900,376
3,2.0,1397,92276,199000,377
2,2.0,1544,92276,124900,378
2,2.0,1368,92276,69800,379
2,2.0,1624,92276,185000,380
1,1.5,1440,92276,87500,381
2,2.0,1840,92276,160000,382
3,2.0,1454,92276,122500,383
2,2.0,1040,92276,67900,384
2,2.0,1281,92276,139000,385
2,2.0,1152,92276,84900,386
2,2.0,1152,92276,99000,387
2,2.0,1536,92276,69900,388
2,1.0,960,92276,49900,389
2,2.0,1440,92276,154500,390
2,2.0,1344,92276,129900,391
3,2.0,1507,92276,235000,392
3,2.0,1766,92276,129000,393
2,2.0,1440,92276,83900,394
2,2.0,1940,92276,129500,395
2,2.0,1468,92276,125000,397
2,3.0,1280,92276,69900,398
2,2.0,960,92276,69500,399
2,2.0,1640,92276,79500,400
2,2.0,1056,92276,68500,401
2,2.0,1344,92276,117500,402
3,2.0,1806,92276,179000,403
2,2.0,1344,92276,89500,404
2,2.0,1120,92276,72000,405
2,2.0,1344,92276,104900,406
3,2.0,1376,92276,174900,407
3,2.0,1440,92276,169900,408
2,2.0,1486,92276,154000,409
3,2.0,1560,92276,189000,410
2,2.0,1440,92276,62500,411
2,2.0,1722,92276,174500,412
2,2.0,1344,92276,139000,413
2,2.0,1248,92276,50000,414
2,2.0,1440,92276,94900,415
2,2.0,1020,92276,42900,416
2,1.0,1000,92276,67000,417
2,2.0,1440,92276,99900,418
2,2.0,1680,92276,69500,419
2,2.0,1440,92276,99000,420
2,2.0,1440,92276,110000,421
3,2.0,2346,93510,557000,423
4,4.0,3254,93510,674900,424
3,2.0,1448,93510,349000,425
3,2.0,1734,93510,265000,426
4,3.5,3381,93510,725000,427
4,2.0,2272,93510,559000,428
3,2.0,3326,93510,549000,429
3,2.0,1508,93510,449000,430
4,3.0,3631,93510,699900,431
3,2.5,2824,93510,569000,432
4,2.0,1966,93510,530000,433
3,2.0,1387,93510,395000,434
3,3.0,2522,93510,705000,435
3,2.0,2095,93510,479000,436
3,2.0,1932,93510,309900,437
4,3.0,3624,93510,698777,438
3,3.0,2848,93510,547900,439
3,2.0,1152,93510,425000,440
4,3.0,1625,93510,639000,441
4,2.0,1717,93510,494000,442
4,4.0,3220,93510,699000,443
5,3.5,3342,93510,639000,444
3,3.0,2800,93510,630000,445
3,3.0,2362,93510,541000,446
3,2.0,2061,93510,529000,447
4,4.0,3522,93510,680000,448
2,1.0,1320,93510,520000,449
3,3.0,2356,93510,710000,450
3,3.0,2808,93510,599999,451
2,2.0,1059,93510,445000,452
4,3.0,2774,93510,599500,453
3,2.5,1991,93510,515000,454
4,4.0,3030,93510,759000,455
4,2.0,1916,93510,549950,456
3,2.0,1400,93446,139900,458
3,2.0,1939,93446,575000,459
4,3.0,2118,93446,489900,460
3,2.0,1940,93446,530000,461
10,6.0,4188,93446,629000,462
3,1.5,1080,93446,325000,463
3,2.0,1170,93446,235000,464
3,3.0,2390,93446,769000,465
3,2.0,1469,93446,299900,466
4,3.0,1496,93446,515000,467
4,2.5,2699,93446,629000,468
3,3.0,2136,93446,689000,469
5,2.0,2544,93446,599000,470
4,3.5,2090,93446,499000,471
2,2.0,1248,93446,175000,472
3,2.0,1712,93446,310000,474
3,2.0,1920,93446,625000,475
3,2.0,1705,93446,499500,476
2,2.0,1056,93446,179900,479
2,2.0,1190,93446,739900,480
3,2.0,1410,93446,330000,481
3,2.0,1822,93446,510000,482
3,2.0,2198,93446,625000,483
2,2.0,1088,93446,280000,484
2,2.0,1088,93446,265000,485
2,2.0,1088,93446,275000,487
2,2.0,900,93446,125000,488
2,2.0,1538,93446,699500,489
3,2.0,1640,93446,425000,490
3,2.0,2108,93446,439000,491
2,1.0,854,93446,179000,492
4,3.0,2617,93446,579500,493
6,4.5,4386,93446,759000,494
3,2.0,1570,93446,435000,495
2,2.0,1257,93446,380000,496
4,2.0,2072,93446,429900,497
2,2.0,2213,93446,585000,498
3,2.5,1500,93446,319000,499
3,2.0,2330,93446,599900,501
3,2.5,1339,93446,344900,502
3,2.0,1472,93446,309995,503
4,4.0,2681,93446,572000,504
3,2.5,1935,92802,695000,505
3,2.0,1471,92802,525000,506
3,2.0,1248,92802,78000,507
3,1.5,1214,92802,424900,508
2,2.5,987,92802,475000,510
3,2.5,1554,92802,409900,512
3,2.5,1717,92802,540000,513
4,2.0,1475,94531,385000,514
3,2.0,1052,94531,195000,515
4,3.0,2353,94531,458000,516
4,2.5,2422,94531,468000,517
3,2.5,2650,94531,458000,518
4,2.5,1831,94531,389000,519
4,2.0,2334,94531,460000,520
5,3.0,2179,94531,430000,521
4,2.5,1662,94531,329900,522
4,3.0,1765,94531,349900,523
3,2.0,2012,94531,454999,524
7,4.0,3871,94531,569950,525
5,3.0,3679,94531,525000,526
4,2.5,1794,94531,380000,527
4,3.5,3420,94531,550000,528
4,3.0,2506,94531,449950,529
4,2.5,2236,94531,495000,530
5,2.0,2066,94531,399900,531
4,3.5,9536,94531,460000,532
3,2.0,2014,94531,407000,533
4,3.0,2312,94531,419000,534
5,3.0,3796,94531,615000,535
